KYTREASNOX,CALDT,TDYTM
2000003,1/2/1973,5.43067508
2000003,1/3/1973,5.37710284
2000003,1/4/1973,5.376700491
2000003,1/5/1973,5.386925375
2000003,1/8/1973,5.406961855
2000003,1/9/1973,5.40655509
2000003,1/10/1973,5.416770455
2000003,1/11/1973,5.45885366
2000003,1/12/1973,5.469062697
2000003,1/15/1973,5.489054885
2000003,1/16/1973,5.552369958
2000003,1/17/1973,5.520074563
2000003,1/18/1973,5.562134557
2000003,1/19/1973,5.59357201
2000003,1/22/1973,5.624127659
2000003,1/23/1973,5.613067906
2000003,1/24/1973,5.655107289
2000003,1/25/1973,5.686525304
2000003,1/26/1973,5.7073186
2000003,1/29/1973,5.822806022
2000003,1/30/1973,5.843587478
2000003,1/31/1973,6.10810603
2000003,2/1/1973,6.225728551
2000003,2/2/1973,6.253016198
2000003,2/5/1973,6.21341205
2000003,2/6/1973,6.210299804
2000003,2/7/1973,6.145710873
2000003,2/8/1973,6.050043069
2000003,2/9/1973,5.953957908
2000003,2/13/1973,5.969723498
2000003,2/14/1973,5.934667052
2000003,2/15/1973,5.836822104
2000003,2/16/1973,5.831664664
2000003,2/20/1973,5.969440678
2000003,2/21/1973,6.06013584
2000003,2/22/1973,6.055499913
2000003,2/23/1973,6.114935245
2000003,2/26/1973,6.263032526
2000003,2/27/1973,6.291346169
2000003,2/28/1973,6.287272719
2000003,3/1/1973,6.283180315
2000003,3/2/1973,6.311796888
2000003,3/5/1973,6.332619672
2000003,3/6/1973,6.494247019
2000003,3/7/1973,6.490673708
2000003,3/8/1973,6.487084022
2000003,3/9/1973,6.583807823
2000003,3/12/1973,6.573727815
2000003,3/13/1973,6.604175664
2000003,3/14/1973,6.634808525
2000003,3/15/1973,6.699689006
2000003,3/16/1973,6.970277175
2000003,3/19/1973,6.859803333
2000003,3/20/1973,6.822586651
2000003,3/21/1973,6.819861471
2000003,3/22/1973,6.817124459
2000003,3/23/1973,6.779484283
2000003,3/26/1973,6.735673029
2000003,3/27/1973,6.732668831
2000003,3/28/1973,6.729650799
2000003,3/29/1973,6.726618799
2000003,3/30/1973,6.830413248
2000003,4/2/1973,6.822147501
2000003,4/3/1973,6.783315117
2000003,4/4/1973,6.744264049
2000003,4/5/1973,6.704992144
2000003,4/6/1973,6.629162344
2000003,4/9/1973,6.509017349
2000003,4/10/1973,6.541990274
2000003,4/11/1973,6.575181962
2000003,4/12/1973,6.571596454
2000003,4/13/1973,6.530890808
2000003,4/16/1973,6.482176708
2000003,4/17/1973,6.478260695
2000003,4/18/1973,6.436658577
2000003,4/19/1973,6.470365346
2000003,4/23/1973,6.492598753
2000003,4/24/1973,6.488654729
2000003,4/25/1973,6.523233065
2000003,4/26/1973,6.480701197
2000003,4/27/1973,6.515487513
2000003,4/30/1973,6.600026924
2000003,5/1/1973,6.62930063
2000003,5/2/1973,6.628160683
2000003,5/3/1973,6.627018161
2000003,5/4/1973,6.595145154
2000003,5/7/1973,6.62242185
2000003,5/8/1973,6.590214216
2000003,5/9/1973,6.526734782
2000003,5/10/1973,6.525325774
2000003,5/11/1973,6.555192724
2000003,5/14/1973,6.551179638
2000003,5/15/1973,6.518217137
2000003,5/16/1973,6.484767726
2000003,5/17/1973,6.610066965
2000003,5/18/1973,6.672344519
2000003,5/21/1973,6.732599061
2000003,5/22/1973,6.763671236
2000003,5/23/1973,6.859690217
2000003,5/24/1973,6.826353129
2000003,5/25/1973,6.82540378
2000003,5/29/1973,6.887430742
2000003,5/30/1973,6.952711574
2000003,5/31/1973,6.952112922
2000003,6/1/1973,6.984740232
