Date,Open,High,Low,Close,Adj Close,Volume
12/29/1989,1.070313,1.082031,1.0625,1.078125,0.716049,23689600
1/2/1990,1.078125,1.125,1.0625,1.125,0.747182,63833600
1/3/1990,1.125,1.132813,1.09375,1.09375,0.726427,69504000
1/4/1990,1.101563,1.125,1.078125,1.117188,0.741993,58483200
1/5/1990,1.117188,1.125,1.101563,1.109375,0.736804,37036800
1/8/1990,1.117188,1.132813,1.109375,1.125,0.747182,43305600
1/9/1990,1.140625,1.171875,1.140625,1.15625,0.767936,103030400
1/10/1990,1.148438,1.164063,1.101563,1.125,0.747182,114105600
1/11/1990,1.125,1.148438,1.117188,1.125,0.747182,41068800
1/12/1990,1.101563,1.125,1.09375,1.101563,0.731615,48851200
1/15/1990,1.101563,1.117188,1.085938,1.109375,0.736804,33830400
1/16/1990,1.109375,1.179688,1.09375,1.171875,0.778314,103984000
1/17/1990,1.171875,1.203125,1.171875,1.175781,0.780908,115017600
1/18/1990,1.171875,1.171875,1.140625,1.164063,0.773125,85571200
1/19/1990,1.171875,1.195313,1.171875,1.183594,0.786097,37107200
1/22/1990,1.179688,1.1875,1.148438,1.148438,0.762748,48150400
1/23/1990,1.171875,1.171875,1.140625,1.148438,0.762748,53708800
1/24/1990,1.125,1.191406,1.109375,1.1875,0.788692,87593600
1/25/1990,1.195313,1.226563,1.1875,1.195313,0.793881,91740800
1/26/1990,1.195313,1.242188,1.195313,1.210938,0.804258,144806400
1/29/1990,1.21875,1.234375,1.164063,1.195313,0.793881,100156800
1/30/1990,1.1875,1.195313,1.164063,1.179688,0.783503,49712000
1/31/1990,1.1875,1.234375,1.179688,1.234375,0.819824,94470400
2/1/1990,1.234375,1.242188,1.210938,1.21875,0.809447,44828800
2/2/1990,1.21875,1.25,1.210938,1.234375,0.819824,48672000
2/5/1990,1.21875,1.257813,1.210938,1.25,0.830202,59574400
2/6/1990,1.25,1.25,1.21875,1.25,0.830202,37971200
2/7/1990,1.242188,1.28125,1.234375,1.257813,0.835391,70905600
2/8/1990,1.257813,1.296875,1.257813,1.265625,0.840579,72928000
2/9/1990,1.265625,1.273438,1.242188,1.257813,0.835391,42704000
2/12/1990,1.257813,1.257813,1.21875,1.226563,0.814636,26720000
2/13/1990,1.226563,1.25,1.210938,1.242188,0.825013,35574400
2/14/1990,1.234375,1.25,1.234375,1.25,0.830202,25689600
2/15/1990,1.234375,1.257813,1.21875,1.257813,0.835391,59472000
2/16/1990,1.25,1.273438,1.242188,1.25,0.830202,78976000
2/20/1990,1.226563,1.238281,1.195313,1.210938,0.804258,50953600
2/21/1990,1.203125,1.226563,1.1875,1.214844,0.806852,52230400
2/22/1990,1.226563,1.238281,1.203125,1.210938,0.804258,39760000
2/23/1990,1.1875,1.21875,1.1875,1.203125,0.79907,36528000
2/26/1990,1.203125,1.234375,1.195313,1.234375,0.819824,23958400
2/27/1990,1.234375,1.257813,1.210938,1.234375,0.819824,57184000
2/28/1990,1.234375,1.257813,1.234375,1.257813,0.835391,41097600
3/1/1990,1.25,1.28125,1.242188,1.269531,0.843174,89718400
3/2/1990,1.273438,1.28125,1.257813,1.273438,0.845768,60652800
3/5/1990,1.265625,1.273438,1.242188,1.246094,0.827607,42393600
3/6/1990,1.242188,1.273438,1.210938,1.269531,0.843174,74396800
3/7/1990,1.273438,1.28125,1.242188,1.25,0.830202,37804800
3/8/1990,1.242188,1.257813,1.226563,1.253906,0.832796,36377600
3/9/1990,1.25,1.273438,1.25,1.265625,0.840579,66025600
3/12/1990,1.257813,1.257813,1.21875,1.253906,0.832796,68656000
3/13/1990,1.25,1.273438,1.242188,1.242188,0.825013,39411200
3/14/1990,1.242188,1.257813,1.21875,1.242188,0.825013,57164800
3/15/1990,1.226563,1.257813,1.210938,1.253906,0.832796,78144000
3/16/1990,1.28125,1.34375,1.257813,1.320313,0.876901,208112000
3/19/1990,1.3125,1.367188,1.3125,1.359375,0.902845,81865600
3/20/1990,1.359375,1.367188,1.335938,1.34375,0.892467,86044800
3/21/1990,1.34375,1.351563,1.320313,1.324219,0.879495,48704000
3/22/1990,1.320313,1.328125,1.296875,1.3125,0.871712,54707200
3/23/1990,1.3125,1.34375,1.3125,1.328125,0.88209,29168000
3/26/1990,1.328125,1.34375,1.320313,1.332031,0.884684,19315200
