Date,Open,High,Low,Close,Adj Close,Volume
12/29/1989,8.53125,8.71875,8.5,8.625,5.148017,1968400
1/2/1990,8.59375,8.71875,8.5625,8.71875,5.203971,3128000
1/3/1990,8.6875,8.6875,8.5625,8.625,5.148017,4244800
1/4/1990,8.625,8.65625,8.4375,8.46875,5.054755,3026400
1/5/1990,8.4375,8.5,8.21875,8.3125,4.961494,4822400
1/8/1990,8.28125,8.5,8.21875,8.46875,5.054755,3346000
1/9/1990,8.5,8.5625,8.40625,8.40625,5.01745,4269200
1/10/1990,8.3125,8.375,8.15625,8.25,4.924191,4530000
1/11/1990,8.3125,8.46875,8.15625,8.1875,4.886885,2773600
1/12/1990,8.125,8.125,7.75,8.03125,4.793623,5225200
1/15/1990,8,8.125,7.875,7.9375,4.737668,4260000
1/16/1990,7.8125,8.03125,7.75,8.03125,4.793623,4524400
1/17/1990,8.03125,8.09375,7.9375,8.03125,4.793623,2595200
1/18/1990,7.875,8.125,7.84375,8.0625,4.812278,3970000
1/19/1990,8.03125,8.0625,7.9375,7.96875,4.756319,3051200
1/22/1990,7.9375,7.9375,7.6875,7.75,4.625756,3492800
1/23/1990,7.8125,7.9375,7.75,7.875,4.700365,2500800
1/24/1990,7.78125,7.90625,7.65625,7.75,4.625756,4014000
1/25/1990,7.875,7.90625,7.65625,7.71875,4.607102,2848400
1/26/1990,7.6875,7.9375,7.59375,7.8125,4.663059,4648400
1/29/1990,7.78125,7.90625,7.65625,7.8125,4.663059,2763200
1/30/1990,7.78125,7.9375,7.75,7.8125,4.663059,4034400
1/31/1990,7.875,8.15625,7.875,8.15625,4.868233,3586800
2/1/1990,8.15625,8.34375,8.15625,8.28125,4.942843,4661600
2/2/1990,8.25,8.375,8.25,8.3125,4.961494,3623600
2/5/1990,8.25,8.375,8.25,8.375,4.998799,2855600
2/6/1990,8.3125,8.34375,8.25,8.28125,4.942843,2838400
2/7/1990,8.3125,8.46875,8.1875,8.46875,5.054755,4014000
2/8/1990,8.4375,8.5,8.28125,8.28125,4.942843,4473600
2/9/1990,8.34375,8.375,8.21875,8.25,4.924191,3262000
2/12/1990,8.21875,8.25,8.125,8.125,4.84958,2018400
2/13/1990,8.09375,8.15625,8.03125,8.15625,4.868233,3273200
2/14/1990,8.125,8.15625,8.03125,8.0625,4.812278,2158800
2/15/1990,8.09375,8.21875,8.0625,8.21875,4.905538,2292000
2/16/1990,8.21875,8.21875,8.0625,8.09375,4.830928,3282400
2/20/1990,8,8.0625,7.90625,7.96875,4.756319,2610000
2/21/1990,7.8125,7.90625,7.8125,7.8125,4.663059,3957600
2/22/1990,7.8125,7.90625,7.75,7.8125,4.663059,2979200
2/23/1990,7.71875,7.78125,7.65625,7.6875,4.588449,4256400
2/26/1990,7.65625,7.875,7.65625,7.875,4.700365,3562400
2/27/1990,7.8125,7.96875,7.78125,7.90625,4.73058,3072800
