caldt,vwretd,spindx
1/2/1990,0.017527,359.69
1/3/1990,-0.002028,358.76
1/4/1990,-0.007913,355.67
1/5/1990,-0.010069,352.2
1/8/1990,0.004798,353.79
1/9/1990,-0.011822,349.62
1/10/1990,-0.006397,347.31
1/11/1990,0.003555,348.53
1/12/1990,-0.024482,339.93
1/15/1990,-0.009086,337
1/16/1990,0.01136,340.75
1/17/1990,-0.00965,337.4
1/18/1990,0.002464,338.19
1/19/1990,0.002848,339.15
1/22/1990,-0.025516,330.38
1/23/1990,0.001458,331.61
1/24/1990,-0.001784,330.26
1/25/1990,-0.013214,326.08
1/26/1990,-0.000937,325.8
1/29/1990,-0.00148,325.2
1/30/1990,-0.00682,322.98
1/31/1990,0.018505,329.08
2/1/1990,-0.000526,328.79
2/2/1990,0.006636,330.92
2/5/1990,0.003658,331.85
2/6/1990,-0.006471,329.66
2/7/1990,0.012745,333.75
2/8/1990,-0.002146,332.96
2/9/1990,0.002327,333.62
2/12/1990,-0.01016,330.08
2/13/1990,0.003099,331.02
2/14/1990,0.002925,332.01
2/15/1990,0.008808,334.89
2/16/1990,-0.006203,332.72
2/20/1990,-0.014207,327.99
2/21/1990,-0.000619,327.67
2/22/1990,-0.005867,325.7
2/23/1990,-0.004672,324.15
2/26/1990,0.014076,328.67
2/27/1990,0.005389,330.26
2/28/1990,0.005013,331.89
3/1/1990,0.003048,332.74
3/2/1990,0.008332,335.54
3/5/1990,-0.004746,333.74
3/6/1990,0.012692,337.93
3/7/1990,-0.003088,336.95
3/8/1990,0.009651,340.27
3/9/1990,-0.006386,337.93
3/12/1990,0.002424,338.67
3/13/1990,-0.007962,336
3/14/1990,0.002751,336.87
3/15/1990,0.00332,338.07
3/16/1990,0.011167,341.91
3/19/1990,0.005245,343.53
3/20/1990,-0.005728,341.57
3/21/1990,-0.005066,339.74
3/22/1990,-0.012495,335.69
3/23/1990,0.004903,337.22
3/26/1990,0.001969,337.63
3/27/1990,0.010609,341.5
3/28/1990,0.002265,342
3/29/1990,-0.00344,340.79
3/30/1990,-0.002828,339.94
4/2/1990,-0.003003,338.7
4/3/1990,0.014589,343.64
4/4/1990,-0.007022,341.09
4/5/1990,-0.000634,340.73
4/6/1990,-0.00181,340.08
4/9/1990,0.003429,341.37
4/10/1990,0.002021,342.07
4/11/1990,-0.000395,341.92
4/12/1990,0.007629,344.34
4/16/1990,0.001186,344.74
4/17/1990,-0.00011,344.68
4/18/1990,-0.011545,340.72
4/19/1990,-0.007883,338.09
4/20/1990,-0.009104,335.12
4/23/1990,-0.011236,331.05
4/24/1990,-0.002203,330.36
4/25/1990,0.005336,332.03
4/26/1990,0.002813,332.92
4/27/1990,-0.011882,329.11
4/30/1990,0.005559,330.8
5/1/1990,0.004754,332.25
5/2/1990,0.006828,334.48
5/3/1990,0.003381,335.57
5/4/1990,0.008809,338.39
5/7/1990,0.006472,340.53
5/8/1990,0.005085,342.01
5/9/1990,0.002095,342.86
5/10/1990,0.003764,343.82
5/11/1990,0.02326,352
5/14/1990,0.008448,354.75
5/15/1990,-0.000853,354.28
5/16/1990,-0.00094,354
5/17/1990,0.001527,354.47
5/18/1990,0.000419,354.64
5/21/1990,0.009805,358
5/22/1990,0.001561,358.43
5/23/1990,0.002261,359.29
5/24/1990,-0.001675,358.41
