Date,vix
2-Jan-90,17.24
3-Jan-90,18.19
4-Jan-90,19.22
5-Jan-90,20.11
8-Jan-90,20.26
9-Jan-90,22.2
10-Jan-90,22.44
11-Jan-90,20.05
12-Jan-90,24.64
15-Jan-90,26.34
16-Jan-90,24.18
17-Jan-90,24.16
18-Jan-90,24.34
19-Jan-90,22.5
22-Jan-90,26.7
23-Jan-90,24.72
24-Jan-90,25.39
25-Jan-90,25.63
26-Jan-90,26.28
29-Jan-90,26.44
30-Jan-90,27.25
31-Jan-90,25.36
1-Feb-90,24.87
2-Feb-90,24.32
5-Feb-90,24.54
6-Feb-90,24.69
7-Feb-90,24.29
8-Feb-90,23.77
9-Feb-90,23.69
12-Feb-90,24.38
13-Feb-90,23.76
14-Feb-90,22.05
15-Feb-90,19.71
16-Feb-90,20.78
20-Feb-90,22.78
21-Feb-90,23.89
22-Feb-90,22.54
23-Feb-90,23.69
26-Feb-90,23.56
27-Feb-90,22.69
28-Feb-90,21.99
1-Mar-90,21.9
2-Mar-90,21.34
5-Mar-90,22.03
6-Mar-90,20.55
7-Mar-90,19.1
8-Mar-90,19.74
9-Mar-90,20.3
12-Mar-90,20.07
13-Mar-90,21.05
14-Mar-90,19.65
15-Mar-90,18.81
16-Mar-90,17.62
19-Mar-90,18.29
20-Mar-90,19.06
21-Mar-90,20.1
22-Mar-90,22.74
23-Mar-90,20.46
26-Mar-90,19.59
27-Mar-90,21.01
28-Mar-90,19.77
29-Mar-90,18.46
30-Mar-90,19.73
2-Apr-90,22.84
3-Apr-90,20.44
4-Apr-90,22.03
5-Apr-90,21.21
6-Apr-90,21.76
9-Apr-90,22.3
10-Apr-90,21.69
11-Apr-90,17.73
12-Apr-90,19.8
16-Apr-90,20.75
17-Apr-90,20.38
18-Apr-90,22.67
19-Apr-90,22.46
20-Apr-90,23.33
23-Apr-90,24.16
24-Apr-90,21.7
25-Apr-90,20.86
26-Apr-90,20.25
27-Apr-90,22.19
30-Apr-90,19.52
1-May-90,18.43
2-May-90,19.32
3-May-90,17.81
4-May-90,17.28
7-May-90,17.65
8-May-90,18.49
9-May-90,18.64
10-May-90,18.59
11-May-90,19.81
14-May-90,20.14
15-May-90,19.49
16-May-90,17.71
17-May-90,17.27
18-May-90,17.2
21-May-90,16.72
22-May-90,17.84
23-May-90,17.18
24-May-90,17.7
25-May-90,17.32
29-May-90,18.75
30-May-90,17.44
31-May-90,17.37
1-Jun-90,17.09
4-Jun-90,18.39
5-Jun-90,18.97
6-Jun-90,17.42
7-Jun-90,16.88
8-Jun-90,17.58
11-Jun-90,16.34
12-Jun-90,16.6
13-Jun-90,17.38
14-Jun-90,17.4
15-Jun-90,15.9
18-Jun-90,17.71
19-Jun-90,15.23
20-Jun-90,15.27
21-Jun-90,14.72
22-Jun-90,19.36
25-Jun-90,17.06
26-Jun-90,16.29
27-Jun-90,16
28-Jun-90,16.18
29-Jun-90,15.5
2-Jul-90,16.26
3-Jul-90,16.11
5-Jul-90,17.25
6-Jul-90,16.41
9-Jul-90,16.66
10-Jul-90,16.92
11-Jul-90,16.68
12-Jul-90,17.06
13-Jul-90,17.09
16-Jul-90,16.75
17-Jul-90,16.66
18-Jul-90,18.9
19-Jul-90,18.56
20-Jul-90,15.63
23-Jul-90,23.68
24-Jul-90,21.79
25-Jul-90,20.19
26-Jul-90,20.26
27-Jul-90,21.12
30-Jul-90,21.16
31-Jul-90,21.11
1-Aug-90,21.64
2-Aug-90,20.43
